Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
1.15E+18,https://twitter.com/SuddenlyZen/status/1145181770809270274,"@PeteButtigieg Pete, have you seen my new and updated wall paper.  Because I think there is truth to it.  The worst part of my brain injury is that I AM SO SCARED TO TRUST ANYONE.  And I can't tell anyone about it.",2019-06-30 04:06 +0000,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145181497562992641,"@PeteButtigieg Pete, did you know I once represented myself in court... and got everything I wanted.  It was a FULL day trial.  Pete, I wish you would read my transcripts... because I REALLY did it!",2019-06-30 04:05 +0000,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145181266674946048,"@PeteButtigieg Because when I tried to just be me... EVERYONE told me that I couldn't do that.  That it was crazy.  And, yeah... some of them WERE crazy.  That's why I have my friends to talk to.",2019-06-30 04:04 +0000,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145181091881508864,@PeteButtigieg I get anxious about money.  Did you know I applied for disability and my application just got lost?  I filed an intent to file... but then got super confused about the paper work.  And I wanted to do it but I just couldn't.,2019-06-30 04:03 +0000,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145180790973767680,@PeteButtigieg So here was my crazy plan to get hired.  Because it's completely crazy.  If any of my doctors new what I was doing... they would think I had TRULY flipped my lid.   Me or the Experts... who knows me better than me?,2019-06-30 04:02 +0000,54,2,0.037037037,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145180440040497153,@PeteButtigieg You and I want to do the right thing SO bad... we were willing to do something CRAZY.  We dared to dream.  We dared to dream big!,2019-06-30 04:01 +0000,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145180201267150849,"@PeteButtigieg Pete, you inspired me to an idea.  I still pick you.  We were in the Navy both and you probably get me.  We are under dogs.  We step up when no one else will.  Not for control.  Not for power.  Not for prestige.",2019-06-30 04:00 +0000,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145179855841050625,"@PeteButtigieg Maybe that's what I like most about you, Pete.  You are reaching for your dreams.  If we accept the status quo, no one would be BOLD enough to step into leadership.",2019-06-30 03:58 +0000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145179643173048323,@PeteButtigieg So I made up a fantasy where I might actually be of GREAT service to an organizations.  Because when I listen to my inner child.  My inner child tells me to be bold!,2019-06-30 03:57 +0000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145179365321445377,@PeteButtigieg Pete... My childhood was stolen.  And I didn't blame anyone else.  Because I knew the truth.  It was MY fault.  And if anyone found out... I would suffer through unspeakable cruelty.,2019-06-30 03:56 +0000,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
